site_name,site_address,site_city,site_state,site_zip,latitude,longitude,site_type
Virginia Lake Elem School,925 N Glenn Dr,Palatine,IL,60074-7189,42.127784,-88.022863,Eligible School
John G Conyers Learning Academy,2800 Central Rd,Rolling Meadows,IL,60008-2535,42.067997,-88.015994,Eligible School
Jane Addams Elem School,1020 E Sayles Dr,Palatine,IL,60074-7274,42.123823,-88.018337,Eligible School
Booth Tarkington Elem School,310 Scott St,Wheeling,IL,60090-4432,42.13265,-87.950868,Eligible School
Jack London Middle School,1001 W Dundee Rd,Wheeling,IL,60090-3908,42.138039,-87.942536,Eligible School
Joyce Kilmer Elem School,655 Golfview Ter,Buffalo Grove,IL,60089-3536,42.142108,-87.96398,Eligible School
Robert Frost Elem School,1805 N Aspen Dr,Mount Prospect,IL,60056-1682,42.099766,-87.89963,Eligible School
Mark Twain Elem School,515 E Merle Ln,Wheeling,IL,60090-4749,42.129449,-87.930981,Eligible School
Walt Whitman Elem School,133 Wille Ave,Wheeling,IL,60090-3127,42.137442,-87.909456,Eligible School
Eugene Field Elem School,51 Saint Armand Ln,Wheeling,IL,60090-3924,42.139712,-87.94412,Eligible School
Oliver W Holmes Middle School,221 S Wolf Rd,Wheeling,IL,60090-4843,42.135065,-87.914084,Eligible School
Devonshire School,1401 Pennsylvania Ave,Des Plaines,IL,60018-1120,42.027368,-87.925993,Eligible School
Friendship Jr High School,550 Elizabeth Ln,Des Plaines,IL,60018-5573,42.027448,-87.934205,Eligible School
Holmes Jr High School,1900 W Lonnquist Blvd,Mount Prospect,IL,60056-3536,42.054133,-87.966808,Eligible School
Grove Jr High School,777 W Elk Grove Blvd,Elk Grove Village,IL,60007-4221,42.007238,-87.990469,Eligible School
Salt Creek Elem School,65 JF Kennedy Blvd,Elk Grove Village,IL,60007-3629,42.00369,-87.99991,Eligible School
Juliette Low Elem School,1530 S Highland Ave,Arlington Heights,IL,60005-3630,42.055875,-87.987545,Eligible School
Robert Frost Elem School,1308 S Cypress Dr,Mount Prospect,IL,60056-5004,42.042891,-87.953142,Eligible School
