"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C01_002E","S1602_C01_002M","S1602_C01_003E","S1602_C01_003M","S1602_C01_004E","S1602_C01_004M","S1602_C01_005E","S1602_C01_005M","S1602_C02_001E","S1602_C02_001M","S1602_C02_002E","S1602_C02_002M","S1602_C02_003E","S1602_C02_003M","S1602_C02_004E","S1602_C02_004M","S1602_C02_005E","S1602_C02_005M","S1602_C03_001E","S1602_C03_001M","S1602_C03_002E","S1602_C03_002M","S1602_C03_003E","S1602_C03_003M","S1602_C03_004E","S1602_C03_004M","S1602_C03_005E","S1602_C03_005M","S1602_C04_001E","S1602_C04_001M","S1602_C04_002E","S1602_C04_002M","S1602_C04_003E","S1602_C04_003M","S1602_C04_004E","S1602_C04_004M","S1602_C04_005E","S1602_C04_005M"
"id","Geographic Area Name","Estimate!!Total!!All households","Margin of Error!!Total!!All households","Estimate!!Total!!All households!!Households speaking --!!Spanish","Margin of Error!!Total!!All households!!Households speaking --!!Spanish","Estimate!!Total!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Total!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Total!!All households!!Households speaking --!!Other languages","Margin of Error!!Total!!All households!!Households speaking --!!Other languages","Estimate!!Percent!!All households","Margin of Error!!Percent!!All households","Estimate!!Percent!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent!!All households!!Households speaking --!!Spanish","Estimate!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent!!All households!!Households speaking --!!Other languages","Estimate!!Limited English-speaking households!!All households","Margin of Error!!Limited English-speaking households!!All households","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Estimate!!Percent limited English-speaking households!!All households","Margin of Error!!Percent limited English-speaking households!!All households","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages"
"1600000US1718147","Curran village, Illinois","91","27","0","11","6","8","5","6","0","11","(X)","(X)","0.0","27.5","6.6","7.8","5.5","5.8","0.0","27.5","0","11","0","11","0","11","0","11","0","11","0.0","27.5","-","**","0.0","100.0","0.0","100.0","-","**"
"1600000US1718225","Cutler village, Illinois","160","36","6","9","3","4","0","11","0","11","(X)","(X)","3.8","5.6","1.9","2.6","0.0","17.0","0.0","17.0","0","11","0","11","0","11","0","11","0","11","0.0","17.0","0.0","100.0","0.0","100.0","-","**","-","**"
"1600000US1718251","Cypress village, Illinois","98","29","0","11","0","11","0","11","0","11","(X)","(X)","0.0","25.9","0.0","25.9","0.0","25.9","0.0","25.9","0","11","0","11","0","11","0","11","0","11","0.0","25.9","-","**","-","**","-","**","-","**"
"1600000US1718303","Dahlgren village, Illinois","257","59","0","11","0","11","0","11","0","11","(X)","(X)","0.0","11.0","0.0","11.0","0.0","11.0","0.0","11.0","0","11","0","11","0","11","0","11","0","11","0.0","11.0","-","**","-","**","-","**","-","**"
"1600000US1718342","Dakota village, Illinois","211","38","3","4","4","5","0","11","0","11","(X)","(X)","1.4","2.1","1.9","2.6","0.0","13.2","0.0","13.2","0","11","0","11","0","11","0","11","0","11","0.0","13.2","0.0","100.0","0.0","100.0","-","**","-","**"
"1600000US1718420","Dallas City city, Illinois","436","65","0","11","15","19","0","11","0","11","(X)","(X)","0.0","6.6","3.4","4.2","0.0","6.6","0.0","6.6","11","18","0","11","11","18","0","11","0","11","2.5","3.9","-","**","73.3","47.6","-","**","-","**"
"1600000US1718446","Dalton City village, Illinois","163","36","0","11","2","3","0","11","0","11","(X)","(X)","0.0","16.7","1.2","1.9","0.0","16.7","0.0","16.7","0","11","0","11","0","11","0","11","0","11","0.0","16.7","-","**","0.0","100.0","-","**","-","**"
"1600000US1718459","Dalzell village, Illinois","299","34","20","10","9","7","6","6","0","11","(X)","(X)","6.7","3.6","3.0","2.3","2.0","1.9","0.0","9.5","0","11","0","11","0","11","0","11","0","11","0.0","9.5","0.0","63.7","0.0","95.0","0.0","100.0","-","**"
"1600000US1718472","Damiansville village, Illinois","205","46","30","34","4","6","5","5","0","11","(X)","(X)","14.6","14.8","2.0","2.9","2.4","2.6","0.0","13.6","15","23","12","23","0","11","3","4","0","11","7.3","10.2","40.0","51.4","0.0","100.0","60.0","54.3","-","**"
"1600000US1718485","Dana village, Illinois","44","12","3","4","0","11","0","11","0","11","(X)","(X)","6.8","9.6","0.0","43.0","0.0","43.0","0.0","43.0","0","11","0","11","0","11","0","11","0","11","0.0","43.0","0.0","100.0","-","**","-","**","-","**"
"1600000US1718498","Danforth village, Illinois","235","45","3","4","9","14","2","4","0","11","(X)","(X)","1.3","1.8","3.8","5.6","0.9","1.5","0.0","12.0","0","11","0","11","0","11","0","11","0","11","0.0","12.0","0.0","100.0","0.0","95.0","0.0","100.0","-","**"
"1600000US1718537","Danvers village, Illinois","401","55","10","9","0","11","0","11","0","11","(X)","(X)","2.5","2.2","0.0","7.2","0.0","7.2","0.0","7.2","0","11","0","11","0","11","0","11","0","11","0.0","7.2","0.0","90.1","-","**","-","**","-","**"
"1600000US1718563","Danville city, Illinois","12064","348","564","143","80","43","125","68","68","57","(X)","(X)","4.7","1.2","0.7","0.4","1.0","0.6","0.6","0.5","188","89","160","78","10","16","0","24","18","29","1.6","0.7","28.4","13.6","12.5","18.4","0.0","21.1","26.5","41.5"
"1600000US1718628","Darien city, Illinois","8857","231","349","129","1233","215","580","121","145","73","(X)","(X)","3.9","1.5","13.9","2.4","6.5","1.3","1.6","0.8","398","127","24","36","209","100","143","71","22","27","4.5","1.4","6.9","10.0","17.0","7.6","24.7","10.7","15.2","18.2"
"1600000US1718641","Darmstadt CDP, Illinois","0","11","0","11","0","11","0","11","0","11","(X)","(X)","-","**","-","**","-","**","-","**","0","11","0","11","0","11","0","11","0","11","-","**","-","**","-","**","-","**","-","**"
"1600000US1718706","Davis village, Illinois","241","31","6","6","7","8","0","11","0","11","(X)","(X)","2.5","2.6","2.9","3.2","0.0","11.7","0.0","11.7","0","11","0","11","0","11","0","11","0","11","0.0","11.7","0.0","100.0","0.0","100.0","-","**","-","**"
"1600000US1718719","Davis Junction village, Illinois","781","66","96","26","2","3","7","7","9","9","(X)","(X)","12.3","3.4","0.3","0.4","0.9","0.9","1.2","1.1","7","8","0","11","2","3","0","11","5","7","0.9","1.0","0.0","26.3","100.0","100.0","0.0","100.0","55.6","55.6"
"1600000US1718745","Dawson village, Illinois","259","51","0","11","5","5","0","11","0","11","(X)","(X)","0.0","10.9","1.9","2.0","0.0","10.9","0.0","10.9","0","11","0","11","0","11","0","11","0","11","0.0","10.9","-","**","0.0","100.0","-","**","-","**"
"1600000US1718771","Dayton CDP, Illinois","251","55","6","7","6","8","0","11","0","11","(X)","(X)","2.4","2.9","2.4","3.3","0.0","11.3","0.0","11.3","0","11","0","11","0","11","0","11","0","11","0.0","11.3","0.0","100.0","0.0","100.0","-","**","-","**"
"1600000US1718823","Decatur city, Illinois","31149","524","655","158","375","127","194","60","64","36","(X)","(X)","2.1","0.5","1.2","0.4","0.6","0.2","0.2","0.1","124","64","48","40","15","23","61","43","0","27","0.4","0.2","7.3","6.2","4.0","6.1","31.4","18.8","0.0","35.3"
"1600000US1718940","Deer Creek village, Illinois","267","36","2","4","4","5","0","11","0","11","(X)","(X)","0.7","1.4","1.5","2.0","0.0","10.6","0.0","10.6","0","11","0","11","0","11","0","11","0","11","0.0","10.6","0.0","100.0","0.0","100.0","-","**","-","**"
"1600000US1718992","Deerfield village, Illinois","7058","208","249","93","482","102","383","118","84","47","(X)","(X)","3.5","1.3","6.8","1.5","5.4","1.7","1.2","0.7","153","77","22","26","53","36","78","61","0","18","2.2","1.1","8.8","10.0","11.0","7.5","20.4","15.1","0.0","29.2"
"1600000US1719031","Deer Grove village, Illinois","19","11","0","11","0","11","0","11","0","11","(X)","(X)","0.0","65.4","0.0","65.4","0.0","65.4","0.0","65.4","0","11","0","11","0","11","0","11","0","11","0.0","65.4","-","**","-","**","-","**","-","**"
"1600000US1719083","Deer Park village, Illinois","1317","79","27","28","170","50","87","38","0","11","(X)","(X)","2.1","2.1","12.9","3.9","6.6","3.0","0.0","2.2","16","15","0","11","9","10","7","11","0","11","1.2","1.1","0.0","54.8","5.3","6.1","8.0","12.5","-","**"
"1600000US1719161","DeKalb city, Illinois","15499","529","1493","276","646","227","468","136","290","133","(X)","(X)","9.6","1.7","4.2","1.5","3.0","0.9","1.9","0.9","462","174","204","116","100","63","89","89","69","59","3.0","1.1","13.7","7.0","15.5","9.3","19.0","18.8","23.8","19.0"
"1600000US1719200","De Land village, Illinois","186","41","3","5","4","6","0","11","0","11","(X)","(X)","1.6","2.5","2.2","3.4","0.0","14.9","0.0","14.9","0","11","0","11","0","11","0","11","0","11","0.0","14.9","0.0","100.0","0.0","100.0","-","**","-","**"
"1600000US1719226","Delavan city, Illinois","730","71","8","10","7","8","0","11","0","11","(X)","(X)","1.1","1.4","1.0","1.0","0.0","4.0","0.0","4.0","0","11","0","11","0","11","0","11","0","11","0.0","4.0","0.0","100.0","0.0","100.0","-","**","-","**"
"1600000US1719499","De Pue village, Illinois","608","61","255","55","0","11","12","10","0","11","(X)","(X)","41.9","6.9","0.0","4.8","2.0","1.7","0.0","4.8","48","25","40","22","0","11","8","9","0","11","7.9","4.1","15.7","8.6","-","**","66.7","42.4","-","**"
"1600000US1719616","De Soto village, Illinois","662","67","10","9","8","10","0","11","4","5","(X)","(X)","1.5","1.4","1.2","1.5","0.0","4.4","0.6","0.8","0","11","0","11","0","11","0","11","0","11","0.0","4.4","0.0","90.1","0.0","100.0","-","**","0.0","100.0"
"1600000US1719642","Des Plaines city, Illinois","22327","481","2921","264","4865","407","1499","190","326","119","(X)","(X)","13.1","1.3","21.8","1.8","6.7","0.8","1.5","0.5","2241","322","424","167","1419","245","312","114","86","62","10.0","1.4","14.5","5.3","29.2","4.5","20.8","7.3","26.4","16.5"
"1600000US1719681","Detroit village, Illinois","14","11","0","11","0","11","0","11","0","11","(X)","(X)","0.0","76.1","0.0","76.1","0.0","76.1","0.0","76.1","0","11","0","11","0","11","0","11","0","11","0.0","76.1","-","**","-","**","-","**","-","**"
"1600000US1719798","De Witt village, Illinois","98","26","2","3","0","11","1","3","0","11","(X)","(X)","2.0","3.5","0.0","25.9","1.0","2.7","0.0","25.9","0","11","0","11","0","11","0","11","0","11","0.0","25.9","0.0","100.0","-","**","0.0","100.0","-","**"
"1600000US1719837","Diamond village, Illinois","1071","96","55","39","4","6","0","11","0","11","(X)","(X)","5.1","3.6","0.4","0.6","0.0","2.8","0.0","2.8","0","11","0","11","0","11","0","11","0","11","0.0","2.8","0.0","38.4","0.0","100.0","-","**","-","**"
